data,temp_max,temp_min,temp_media,umid_max,umid_min,umid_mediana,rad_min,rad_max,rad_mediana,vento_raj_max,vento_vel_media,precipitacao_total,temp_inst_faltantes_pct,umidade_faltantes_pct,radiacao_faltantes_pct,vento_vel_faltantes_pct,precipitacao_faltantes_pct,valor_loja_02
2020-01-01,31.5,24.3,27.3,90.0,53.0,75.0,9.9,2779.0,1608.6,10.7,1.91,0.0,0.0%,0.0%,37.5%,0.0%,0.0%,
2020-01-02,29.2,20.3,24.38,81.0,42.0,67.0,10.0,3054.2,1849.4,12.0,4.01,0.0,0.0%,0.0%,37.5%,0.0%,0.0%,
2020-01-03,29.3,18.5,23.28,87.0,43.0,67.0,7.0,3630.3,1998.9,13.1,3.48,0.0,0.0%,0.0%,37.5%,0.0%,0.0%,
2020-01-04,30.4,19.8,24.39,89.0,46.0,67.5,8.6,3775.1,2262.9,9.1,3.1,0.0,0.0%,0.0%,37.5%,0.0%,0.0%,
2020-01-05,32.5,18.8,25.22,93.0,37.0,68.0,8.8,3814.0,1389.6,10.0,2.42,0.0,0.0%,0.0%,37.5%,0.0%,0.0%,
2020-01-06,35.9,21.3,27.55,84.0,36.0,63.5,0.1,3244.2,934.9,19.9,2.3,4.0,0.0%,0.0%,37.5%,0.0%,0.0%,
2020-01-07,30.8,20.7,24.83,96.0,28.0,54.0,45.5,3645.1,2379.3,6.2,1.18,0.0,0.0%,4.17%,41.67%,0.0%,0.0%,
2020-01-08,32.7,16.8,24.43,93.0,37.0,67.5,9.3,3669.4,2183.3,9.6,2.09,0.0,0.0%,0.0%,37.5%,0.0%,0.0%,
2020-01-09,36.0,19.5,26.29,98.0,45.0,74.0,7.8,3322.8,1537.9,17.5,1.75,38.0,0.0%,0.0%,37.5%,0.0%,0.0%,
2020-01-10,33.3,21.0,25.02,98.0,62.0,95.5,2.7,3651.5,342.7,15.6,2.0,84.4,0.0%,0.0%,37.5%,0.0%,0.0%,
2020-01-11,30.4,21.1,24.99,97.0,61.0,86.0,0.4,3053.1,1600.05,9.8,1.65,0.2,0.0%,0.0%,33.33%,0.0%,0.0%,
2020-01-12,31.1,22.8,26.51,95.0,44.0,82.5,7.9,3727.1,2121.4,8.5,2.01,0.0,0.0%,0.0%,37.5%,0.0%,0.0%,
